compound,BandGap,Volume,vand_rad_Avg,vand_rad_Min,vand_rad_Max,cov_rad_Avg,cov_rad_Min,cov_rad_Max,atom_rad_Avg,atom_rad_Min,atom_rad_Max,density_Avg,density_Min,density_Max
ZnGeN2  ,2.44,181.39,168.33,139,211,104.33,71,122,108.33,65,135,4.42,0.81,7.13
ZnGeN2  ,3.02,181.83,168.33,139,211,104.33,71,122,108.33,65,135,4.42,0.81,7.13
ZnGeN2  ,2.73,181.56,168.33,139,211,104.33,71,122,108.33,65,135,4.42,0.81,7.13
AlGaN2  ,4.59,178.46,175.33,155,187,104.67,71,122,106.67,65,130,3.14,0.81,5.91
AlGaN2  ,4.63,178.36,175.33,155,187,104.67,71,122,106.67,65,130,3.14,0.81,5.91
AlGaN2  ,4.46,178.51,175.33,155,187,104.67,71,122,106.67,65,130,3.14,0.81,5.91
ZnSiN2  ,4.52,164.13,168.0,139,210,101.33,71,122,103.33,65,135,3.42,0.81,7.13
AlGaAs2  ,1.76,367.95,185.33,184,187,120.67,119,122,123.33,115,130,4.78,2.7,5.91
AlGaAs2  ,2.06,367.95,185.33,184,187,120.67,119,122,123.33,115,130,4.78,2.7,5.91
AlGaAs2  ,2.13,368.07,185.33,184,187,120.67,119,122,123.33,115,130,4.78,2.7,5.91
AlGaP2  ,2.47,329.24,183.67,180,187,116.67,107,122,118.33,100,130,3.48,1.82,5.91
AlGaP2 ,2.71,329.3,183.67,180,187,116.67,107,122,118.33,100,130,3.48,1.82,5.91
AlGaP2 ,2.76,329.3,183.67,180,187,116.67,107,122,118.33,100,130,3.48,1.82,5.91
GaInN2  ,1.32,215.88,178.33,155,193,111.67,71,142,116.67,65,155,4.68,0.81,7.31
GaInN2  ,1.5,215.6,178.33,155,193,111.67,71,142,116.67,65,155,4.68,0.81,7.31
GaInN2  ,1.22,215.74,178.33,155,193,111.67,71,142,116.67,65,155,4.68,0.81,7.31
AlInN2  ,2.64,203.87,177.33,155,193,111.33,71,142,115.0,65,155,3.61,0.81,7.31
AlInN2  ,3.0,203.2,177.33,155,193,111.33,71,142,115.0,65,155,3.61,0.81,7.31
AlInN2  ,2.7,203.16,177.33,155,193,111.33,71,142,115.0,65,155,3.61,0.81,7.31
CdSiN2  ,2.45,188.76,174.33,155,210,108.67,71,144,110.0,65,155,3.93,0.81,8.65
CdSiN2  ,3.05,188.94,174.33,155,210,108.67,71,144,110.0,65,155,3.93,0.81,8.65
CdSiN2  ,3.16,187.61,174.33,155,210,108.67,71,144,110.0,65,155,3.93,0.81,8.65
ZnGeP2  ,0.88,316.45,176.67,139,211,116.33,107,122,120.0,100,135,4.76,1.82,7.13
ZnGeP2  ,1.73,316.78,176.67,139,211,116.33,107,122,120.0,100,135,4.76,1.82,7.13
ZnGeP2  ,1.94,316.85,176.67,139,211,116.33,107,122,120.0,100,135,4.76,1.82,7.13
CdGeN2  ,1.15,208.75,174.67,155,211,111.67,71,144,115.0,65,155,4.93,0.81,8.65
CdGeN2  ,2.04,209.26,174.67,155,211,111.67,71,144,115.0,65,155,4.93,0.81,8.65
CdGeN2  ,1.73,208.27,174.67,155,211,111.67,71,144,115.0,65,155,4.93,0.81,8.65
GaInP2  ,1.87,365.76,186.67,180,193,123.67,107,142,128.33,100,155,5.01,1.82,7.31
GaInP2  ,2.16,365.24,186.67,180,193,123.67,107,142,128.33,100,155,5.01,1.82,7.31
GaInP2  ,2.06,365.42,186.67,180,193,123.67,107,142,128.33,100,155,5.01,1.82,7.31
AlInP2  ,2.62,364.04,185.67,180,193,123.33,107,142,126.67,100,155,3.94,1.82,7.31
AlInP2  ,2.98,363.66,185.67,180,193,123.33,107,142,126.67,100,155,3.94,1.82,7.31
AlInP2  ,2.89,363.64,185.67,180,193,123.33,107,142,126.67,100,155,3.94,1.82,7.31
AlInAs2  ,1.55,405.59,187.33,184,193,127.33,119,142,131.67,115,155,5.25,2.7,7.31
AlInAs2 ,1.7,405.08,187.33,184,193,127.33,119,142,131.67,115,155,5.25,2.7,7.31
AlInAs2 ,1.67,405.22,187.33,184,193,127.33,119,142,131.67,115,155,5.25,2.7,7.31
GaInAs2  ,0.27,407.41,188.33,185,193,127.67,119,142,133.33,115,155,6.32,5.73,7.31
GaInAs2  ,0.43,406.71,188.33,185,193,127.67,119,142,133.33,115,155,6.32,5.73,7.31
GaInAs2  ,0.38,407.1,188.33,185,193,127.67,119,142,133.33,115,155,6.32,5.73,7.31
CdSiAs2  ,0.15,380.71,184.33,158,210,124.67,111,144,126.67,110,155,5.57,2.33,8.65
CdSiAs2  ,1.47,379.89,184.33,158,210,124.67,111,144,126.67,110,155,5.57,2.33,8.65
CdSiAs2  ,1.34,379.43,184.33,158,210,124.67,111,144,126.67,110,155,5.57,2.33,8.65
CdGeAs2  ,0.11,400.11,184.67,158,211,127.67,119,144,131.67,115,155,6.57,5.32,8.65
CdGeAs2  ,0.07,399.98,184.67,158,211,127.67,119,144,131.67,115,155,6.57,5.32,8.65
ZnGeAs2  ,0.07,358.94,178.33,139,211,120.33,119,122,125.0,115,135,6.06,5.32,7.13
ZnGeAs2  ,0.58,359.2,178.33,139,211,120.33,119,122,125.0,115,135,6.06,5.32,7.13
ZnGeAs2  ,0.5,359.26,178.33,139,211,120.33,119,122,125.0,115,135,6.06,5.32,7.13
ZnSnN2  ,0.94,212.68,170.33,139,217,110.67,71,139,115.0,65,145,5.08,0.81,7.31
ZnSnN2  ,0.97,213.04,170.33,139,217,110.67,71,139,115.0,65,145,5.08,0.81,7.31
ZnSnN2  ,0.79,213.22,170.33,139,217,110.67,71,139,115.0,65,145,5.08,0.81,7.31
ZnSiAs2  ,0.78,342.27,178.0,139,210,117.33,111,122,120.0,110,135,5.06,2.33,7.13
ZnSiAs2  ,1.81,342.3,178.0,139,210,117.33,111,122,120.0,110,135,5.06,2.33,7.13
ZnSiAs2  ,1.95,342.28,178.0,139,210,117.33,111,122,120.0,110,135,5.06,2.33,7.13
CdSiP2  ,1.21,335.64,182.67,158,210,120.67,107,144,121.67,100,155,4.27,1.82,8.65
CdSiP2  ,2.7,335.73,182.67,158,210,120.67,107,144,121.67,100,155,4.27,1.82,8.65
CdSiP2  ,2.33,334.95,182.67,158,210,120.67,107,144,121.67,100,155,4.27,1.82,8.65
CdGeP2  ,0.36,355.55,183.0,158,211,123.67,107,144,126.67,100,155,5.26,1.82,8.65
CdGeP2  ,1.78,355.29,183.0,158,211,123.67,107,144,126.67,100,155,5.26,1.82,8.65
CdGeP2  ,1.62,354.99,183.0,158,211,123.67,107,144,126.67,100,155,5.26,1.82,8.65
CdSnN2  ,0.1,244.97,176.67,155,217,118.0,71,144,121.67,65,155,5.59,0.81,8.65
CdSnN2  ,0.45,245.51,176.67,155,217,118.0,71,144,121.67,65,155,5.59,0.81,8.65
CdSnN2  ,0.15,245.5,176.67,155,217,118.0,71,144,121.67,65,155,5.59,0.81,8.65
ZnSnAs2  ,0.21,400.03,180.33,139,217,126.67,119,139,131.67,115,145,6.72,5.73,7.31
ZnSnAs2 ,0.27,400.34,180.33,139,217,126.67,119,139,131.67,115,145,6.72,5.73,7.31
ZnSnAs2 ,0.24,400.63,180.33,139,217,126.67,119,139,131.67,115,145,6.72,5.73,7.31
ZnSnP2  ,1.39,356.34,178.67,139,217,122.67,107,139,126.67,100,145,5.42,1.82,7.31
ZnSnP2  ,1.67,356.57,178.67,139,217,122.67,107,139,126.67,100,145,5.42,1.82,7.31
ZnSnP2  ,1.69,356.84,178.67,139,217,122.67,107,139,126.67,100,145,5.42,1.82,7.31
CdSnP2  ,0.75,399.77,185.0,158,217,130.0,107,144,133.33,100,155,5.93,1.82,8.65
CdSnP2  ,1.29,400.1,185.0,158,217,130.0,107,144,133.33,100,155,5.93,1.82,8.65
CdSnP2  ,1.14,400.28,185.0,158,217,130.0,107,144,133.33,100,155,5.93,1.82,8.65
ZnSiP2  ,1.53,300.31,176.33,139,210,113.33,107,122,115.0,100,135,3.76,1.82,7.13
ZnSiP2  ,2.35,300.56,176.33,139,210,113.33,107,122,115.0,100,135,3.76,1.82,7.13
ZnSiP2  ,2.2,300.44,176.33,139,210,113.33,107,122,115.0,100,135,3.76,1.82,7.13
CdSnAs2  ,0.07,446.11,186.67,158,217,134.0,119,144,138.33,115,155,7.23,5.73,8.65
CdSnAs2  ,0.05,446.14,186.67,158,217,134.0,119,144,138.33,115,155,7.23,5.73,8.65
CdSnAs2  ,0.13,446.31,186.67,158,217,134.0,119,144,138.33,115,155,7.23,5.73,8.65
ZnGeSb2  ,0.05,447.38,185.33,139,211,127.0,120,139,135.0,125,145,6.38,5.32,7.13
ZnGeSb2  ,0.02,447.96,185.33,139,211,127.0,120,139,135.0,125,145,6.38,5.32,7.13
CdSiSb2 ,0.88,474.04,191.33,158,210,131.33,111,144,136.67,110,155,5.89,2.33,8.65
CdSiSb2 ,0.75,474.07,191.33,158,210,131.33,111,144,136.67,110,155,5.89,2.33,8.65
ZnSiSb2  ,0.78,431.46,185.0,139,210,124.0,111,139,130.0,110,145,5.38,2.33,7.13
ZnSiSb2  ,1.15,432.01,185.0,139,210,124.0,111,139,130.0,110,145,5.38,2.33,7.13
CdGeSb2  ,0.09,492.76,191.67,158,211,134.33,120,144,141.67,125,155,6.89,5.32,8.65
CdGeSb2  ,0.19,493.09,191.67,158,211,134.33,120,144,141.67,125,155,6.89,5.32,8.65
ZnSnSb2  ,0.02,493.42,187.33,139,217,133.33,122,139,141.67,135,145,7.04,6.69,7.31
ZnSnSb2  ,0.05,493.83,187.33,139,217,133.33,122,139,141.67,135,145,7.04,6.69,7.31
ZnSnSb2  ,0.04,494.12,187.33,139,217,133.33,122,139,141.67,135,145,7.04,6.69,7.31
CdSnSb2  ,0.06,544.1,193.67,158,217,140.67,139,144,148.33,145,155,7.55,6.69,8.65
CdSnSb2 ,0.06,544.27,193.67,158,217,140.67,139,144,148.33,145,155,7.55,6.69,8.65
CdSnSb2 ,0.09,544.54,193.67,158,217,140.67,139,144,148.33,145,155,7.55,6.69,8.65
