compound,BandGap,Volume,vand_rad_Avg,vand_rad_Min,vand_rad_Max,cov_rad_Avg,cov_rad_Min,cov_rad_Max,atom_rad_Avg,atom_rad_Min,atom_rad_Max,density_Avg,density_Min,density_Max,d001,d002,d003,bandgap_SISSO
ZnGeN2  ,2.44,181.39,168.33,139,211,104.33,71,122,108.33,65,135,4.42,0.81,7.13,26.743210800102325,-3767.725010849568,-0.017961540723468276,2.735237981578826
ZnGeN2  ,3.02,181.83,168.33,139,211,104.33,71,122,108.33,65,135,4.42,0.81,7.13,26.69366583316317,-3767.725010849568,-0.017961540723468276,2.7271453448930174
ZnGeN2  ,2.73,181.56,168.33,139,211,104.33,71,122,108.33,65,135,4.42,0.81,7.13,26.72402906197753,-3767.725010849568,-0.017961540723468276,2.7321048512683968
AlGaN2  ,4.59,178.46,175.33,155,187,104.67,71,122,106.67,65,130,3.14,0.81,5.91,39.22105269476452,85.23638996952022,-0.0059048837519735204,4.671085089197948
AlGaN2  ,4.63,178.36,175.33,155,187,104.67,71,122,106.67,65,130,3.14,0.81,5.91,39.24015643209684,85.23638996952022,-0.0059048837519735204,4.674205478919096
AlGaN2  ,4.46,178.51,175.33,155,187,104.67,71,122,106.67,65,130,3.14,0.81,5.91,39.21151233649002,85.23638996952022,-0.0059048837519735204,4.6695267744358695
ZnSiN2  ,4.52,164.13,168.0,139,210,101.33,71,122,103.33,65,135,3.42,0.81,7.13,35.84037092318191,1152.7615372958624,-0.005769388878134005,4.183143915991766
AlGaAs2  ,1.76,367.95,185.33,184,187,120.67,119,122,123.33,115,130,4.78,2.7,5.91,25.349709753130554,-6144.1230369057885,0.0008998927081984429,1.8109566050993513
AlGaAs2  ,2.06,367.95,185.33,184,187,120.67,119,122,123.33,115,130,4.78,2.7,5.91,25.349709753130554,-6144.1230369057885,0.0008998927081984429,1.8109566050993513
AlGaAs2  ,2.13,368.07,185.33,184,187,120.67,119,122,123.33,115,130,4.78,2.7,5.91,25.345577209668733,-6144.1230369057885,0.0008998927081984429,1.8102815986377288
AlGaP2  ,2.47,329.24,183.67,180,187,116.67,107,122,118.33,100,130,3.48,1.82,5.91,32.59559018984684,-7289.15337001714,0.007114875527194246,2.7418194857383806
AlGaP2 ,2.71,329.3,183.67,180,187,116.67,107,122,118.33,100,130,3.48,1.82,5.91,32.59234338152783,-7289.15337001714,0.007114875527194246,2.7412891545718177
AlGaP2 ,2.76,329.3,183.67,180,187,116.67,107,122,118.33,100,130,3.48,1.82,5.91,32.59234338152783,-7289.15337001714,0.007114875527194246,2.7412891545718177
GaInN2  ,1.32,215.88,178.33,155,193,111.67,71,142,116.67,65,155,4.68,0.81,7.31,24.275084402941694,-9588.216645416158,-0.0007525558708081707,1.4632309588083563
GaInN2  ,1.5,215.6,178.33,155,193,111.67,71,142,116.67,65,155,4.68,0.81,7.31,24.29773041886165,-9588.216645416158,-0.0007525558708081707,1.46692994158185
GaInN2  ,1.22,215.74,178.33,155,193,111.67,71,142,116.67,65,155,4.68,0.81,7.31,24.28639742351885,-9588.216645416158,-0.0007525558708081707,1.4650788188636967
AlInN2  ,2.64,203.87,177.33,155,193,111.33,71,142,115.0,65,155,3.61,0.81,7.31,31.454309251841114,-8060.6572082291705,-0.0019322747761678868,2.767511167247239
AlInN2  ,3.0,203.2,177.33,155,193,111.33,71,142,115.0,65,155,3.61,0.81,7.31,31.533259608702465,-8060.6572082291705,-0.0019322747761678868,2.7804068576425616
